18.05.2022	14	23	43	57	74	88	28	61
16.05.2022	26	53	56	57	67	80	2	81
14.05.2022	1	14	38	56	66	71	25	49
11.05.2022	11	27	54	57	65	82	78	63
09.05.2022	7	10	32	53	63	75	37	50
07.05.2022	7	8	12	35	68	73	77	57
04.05.2022	26	35	39	43	48	51	67	69
02.05.2022	12	23	41	45	53	77	70	32
30.04.2022	9	12	36	39	57	72	37	46
27.04.2022	29	32	35	47	64	73	68	72
25.04.2022	2	47	48	61	75	84	52	41
23.04.2022	1	3	31	70	83	86	18	34
20.04.2022	4	13	15	75	79	86	12	69
18.04.2022	25	27	38	68	73	88	49	23
16.04.2022	16	22	47	78	79	80	23	75
13.04.2022	6	38	49	62	72	82	40	65
11.04.2022	26	31	33	46	60	72	84	15
09.04.2022	3	6	23	53	62	71	90	28
06.04.2022	5	29	44	59	64	89	26	53
04.04.2022	3	8	13	22	71	73	58	6
02.04.2022	15	44	72	75	80	88	76	40
30.03.2022	1	13	49	56	78	88	19	13
28.03.2022	5	33	36	51	68	78	15	5
26.03.2022	8	11	22	41	44	59	19	59
23.03.2022	6	13	19	31	70	84	51	70
21.03.2022	15	18	49	56	68	79	47	80
19.03.2022	9	20	22	23	25	86	2	82
16.03.2022	31	40	42	45	73	89	90	47
14.03.2022	19	32	40	42	47	58	61	42
12.03.2022	25	29	44	61	76	79	35	40
09.03.2022	15	32	68	69	81	84	29	17
07.03.2022	9	25	41	52	78	86	57	5
05.03.2022	18	19	42	47	53	89	73	89
02.03.2022	25	69	70	76	81	84	12	61
28.02.2022	14	23	40	41	42	53	46	5
26.02.2022	18	59	64	74	79	80	85	31
23.02.2022	10	25	28	56	66	86	41	66
21.02.2022	3	28	52	87	89	90	27	25
19.02.2022	5	11	12	18	34	85	37	49
16.02.2022	28	39	42	68	71	74	19	37
14.02.2022	23	25	37	43	45	67	87	54
12.02.2022	23	33	38	62	80	90	79	40
09.02.2022	9	29	43	60	68	69	56	81
07.02.2022	1	12	51	57	64	76	78	44
